"Код","Артикул","Наименование","Полное наименование","Цена дил.","Цена роз.","Статус","Остаток","Заказ"
"Мобильные телефоны и аксессуары","","","","","","","",""
"Мобильные телефоны","","","","","","","",""
"46746","220733SFG","Мобильный телефон Redmi A1+ 2GB RAM 32GB ROM Black","Мобильный телефон, Redmi, A1+ 32GB, 2GB, 6.52"", Android GO, Helio A22, PowerVRGE8320, Камера 8Мп+QVGA/5Мп, 1600 x 720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Black) Чёрный","42700","49990","",">50",""
"46747","220733SFG","Мобильный телефон Redmi A1+ 2GB RAM 32GB ROM Light Blue","Мобильный телефон, Redmi, A1+ 32GB, 2GB, 6.52"", Android GO, Helio A22, PowerVRGE8320, Камера 8Мп+QVGA/5Мп, 1600 x 720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Light Blue) Синий","42700","49990","",">50",""
"46946","220733SFG","Мобильный телефон Redmi A1+ 2GB RAM 32GB ROM Light Green","Мобильный телефон, Redmi, A1+ 32GB, 2GB, 6.52"", Android GO, Helio A22, PowerVRGE8320, Камера 8Мп+QVGA/5Мп, 1600 x 720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Light Green) Зелёный","42700","49990","",">50",""
"43724","M2006C3LG","Мобильный телефон Redmi 9A 2GB RAM 32GB ROM Aurora Green","Мобильный телефон, Redmi, 9A 32GB, 2GB, 6.53"",Android MIUI, Helio G25, PowerVRGE8320, Камера 13 Мп, 5 Мп, 1600 x 720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Aurora Green) Зелёный","50890","34990","",">50",""
"45498","220233L2G","Мобильный телефон Redmi 10A 3GB RAM 64GB ROM Graphite Gray","Мобильный телефон, Redmi, 10A 64GB, 3GB, 6.53"",Android MIUI, Helio G25, PowerVRGE8320, Камера 13Мп+2Мп/5Мп, 1600x720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Graphite Gray) Серый","58850","49990","",">50",""
"45500","220233L2G","Мобильный телефон Redmi 10A 3GB RAM 64GB ROM Chrome Silver","Мобильный телефон, Redmi, 10A 64GB, 3GB, 6.53"",Android MIUI, Helio G25, PowerVRGE8320, Камера 13Мп+2Мп/5Мп, 1600x720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Chrome Silver) Серебристый","58850","49990","","0",""
"45501","220233L2G","Мобильный телефон Redmi 10A 3GB RAM 64GB ROM Sky Blue","Мобильный телефон, Redmi, 10A 64GB, 3GB, 6.53"",Android MIUI, Helio G25, PowerVRGE8320, Камера 13Мп+2Мп/5Мп, 1600x720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Sky Blue) Синий","58850","49990","",">50",""
"42303","220333QAG","Мобильный телефон Redmi 10C 4GB RAM 64GB ROM Ocean Blue","Мобильный телефон, Redmi, 10C 64GB, 4GB, 6.71"", Android MIUI, Snapdragon 680, Andreno 610, Камера 50MPx+2MP, 5 Мп, 1650 x 720, Bluetooth 5.0, 5000 мАч, Nano-SIM x2 + Micro SD (2 +1), (Ocean Blue) Синий","67300","59990","",">50",""
