"10.04.2023","16 ЛЕТ НА РЫНКЕ КАЗАХСТАНА!","","","","","","",""
"","","","","","","","",""
"Код","Артикул","Полное наименование","Доступность
(штук)","Цена
(тенге)","Срок
гарантии","В коробке
(штук)","Фото","Ссылка"
"Моноблоки и Десктопы","","","","","","","",""
"Моноблоки MSI","","","","","","","",""
"31283      ","11M-832EU","Моноблок MSI PRO AP241 11M, 23.8'' LED FHD (1920x1080), Corei3-10105 (3,7GHz), Intel UHD Graphics, 8Gb SO-DIMM DDR4, 256Gb SSD M.2, HDMI, Wireless AC 9462, Bluetooth, Win 11 Home, Black, PRO AP241 11M <11M-832EU>","22","272,975","1 год","1","11M-832EU","Ссылка"
"31281      ","0M-588EU","Моноблок MSI PRO AP241Z 5M, 23.8'' LED FHD (1920x1080), Ryzen 3 5300G (4,0GHz), AMD Radeon Graphics, 8Gb SO-DIMM DDR4, 512Gb SSD M.2, HDMI, Wireless AC 3168, Bluetooth, Win 11 Home, Black, PRO AP241Z 5M <5M-088EU>","7","290,875","1 год","1","5M-088EU","Ссылка"
"31278      ","0M-587EU","Моноблок MSI PRO AP241Z 5M, 23.8'' LED FHD (1920x1080), Ryzen 5 5600G (3,9GHz), AMD Radeon Graphics, 8Gb SO-DIMM DDR4, 512Gb SSD M.2, HDMI, Wireless AC 3168, Bluetooth, Win 11 Home, Black, PRO AP241Z 5M <5M-087EU>","2","326,675","1 год","1","5M-088EU","Ссылка"
"Системные блоки NOMAD","","","","","","","",""
"Nomad    Universal","","","","","","","",""
"30929      ","NMD-30929","ПК Nomad Universal T А6 9500E/ A320M-DVS/ 4Gb DDR4/ SDD 128 Gb/ Case 400W/ Win11 Pro/ ","24","87,710","3 года","1","Nomad swan","NMD-30929"
"30928      ","NMD-30928","ПК Nomad Universal T А6 9500E/ A320M-DVS/ 8GB DDR4/ SDD 128 Gb/ Case 400W/ ","30","65,783","3 года","1","Nomad swan","NMD-30928"
"29666      ","NMD-29666","ПК Nomad Universal Т Athlon 3125GE/ A320M-DVS/ 4Gb DDR4/ SDD 128 Gb/ Case 400W/ WIN10 PRO","31","93,975","3 года","1","Nomad swan","NMD-29666"
"Кресла","","","","","","","",""
"31864      ","MAG CH130 I FABRIC","Компьютерное кресло MSI MAG CH130 I FABRIC Стальная рама, до 150кг, Гибкая настройка положения подлокотников и сиденья, Газовая пружина 4-го класса, 5-конечное стальное основание, 60-миллиметровые колесики с блокировкой, Эргономичные подголовник и поясничная опора,  Черно-бежевое","9","138,725","2 года","1","MAG CH130 I FABRIC","Ссылка"
"31865      ","MAG CH130 I REPELTEK FABRIC","Компьютерное кресло MSI MAG CH130 I REPELTEK FABRIC Стальная рама, до 150кг, Гибкая настройка положения подлокотников и сиденья, Газовая пружина 4-го класса, 5-конечное стальное основание, 60-миллиметровые колесики с блокировкой, Эргономичные подголовник и поясничная опора,  Черно-серое","25","143,200","2 года","1","MAG CH130 I REPELTEK FABRIC","Ссылка"
