"Прайс-лист: DEALER_PRICE от 10.04.2023","","","","","","","","",""
"","","","","","","","","",""
"ID товара","Артикул","Описание","Код производителя","Срок гарантии","Кол-во в коробке","D3","Спец.цена","Наличие","Спец.тенге"
"Аксессуары","","","","","","","","",""
"Зарядные устройства и аккумуляторы","","","","","","","","",""
"279221","АЗУ CD213 10144 QC 3.0+QC 3.0 36W","Автомобильное ЗУ Ugreen CD213 QC 3.0+QC 3.0 Dual USB-A 36W Fast Car Charger, 10144","10144","24","","8.63","8.63","менее 30","3884"
"279225","АЗУ CD229 80910 FM&Bluetooth Trnsmt","Автомобильное ЗУ Ugreen CD229 FM&Bluetooth Transmitter&Car Charger + TF Slot, 80910","80910","24","","19.92","19.92","более 30","8964"
"218313","P7Z54AA HP USB-C to VGA Adapter","P7Z54AA HP USB-C to VGA Adapter","P7Z54AA","12","","19.06","19.06","менее 10","8577"
"277091","ЗУ CD122 70273 USB Fast Charger EU","Зарядное устройство UGREEN CD122 QC3.0 USB Fast Charger EU (Black), 70273","70273","24","","6","6","более 200","2700"
"277068","ЗУ CD144 Charging Module for Apple","Беспроводное З/У UGREEN CD144 Magnetic Charging Module for Apple Watch 5V/1A","50944","24","","20","20","более 100","9000"
"277103","ЗУ CD217 70817 Charger 65W EU","Зарядное устройство UGREEN CD217 GaN PD Fast Charger 65W EU, 70817","70817","24","","19","19","более 200","8550"
"279217","ЗУ CD221 80576 15W Wireless Charger","Зарядное устройство Ugreen 15W Wireless Charger Stand, 80576","80576","24","","17","17","более 30","7650"
"Кабели USB","","","","","","","","",""
"279149","Кабель US155 20728 White 1m Ugreen","Кабель Ugreen US155 Lightning To USB 2.0 A Male Cable/White 1M, 20728","20728","24","","7.5","7.5","более 100","3375"
"279151","Кабель US155 20730 White 2m Ugreen","Кабель Ugreen US155 Lightning To USB 2.0 A Male Cable/White 2M, 20730","20730","24","","12.66","12.66","более 50","5697"
